Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Victorian Rail Track,2019,qtr 2 2019‑20,236000000,20000000,,Network Transition Plan - Phase A (Statewide),Existing,Transport,256000000
Victorian Rail Track,2019,qtr 4 2019‑20,370000000,175000000,"TEI includes $467.000 million of Commonwealth funding, and excludes $4.441 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.",Ballarat Line Upgrade Stage 1 (regional various),Existing,Transport,545000000
Victorian Rail Track,2019,tbc,372000000,196000000,"$20.200 million has been reallocated to this project from the Regional Rail Revival - (Murray Basin Rail Project). The TEI includes funding for the ‘Rail Infrastructure Upgrades from Maryborough and Ararat to Ballarat', a $1.000 million contribution from GrainCorp, and  $35.000 million of Commonwealth funding for Ballarat Line Upgrade Stage 2. These projects have been combined for reporting purposes and the estimated completion date is to be confirmed.",Murray Basin Rail Project (regional various),Existing,Transport,568000000
Victorian Rail Track,2019,qtr 4 2024‑25,442000000,1048000000,"TEI has been reduced by $4.450 million due to savings, and $35.127 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. As a rolling program of works, the TEI varies from year to year. TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2016‑17 to 2024‑25, including funding provided in the 2017‑18 Budget Update for the management of the new train and tram franchise agreement that commenced on 30 November 2017.",Metropolitan rail infrastructure renewal program (metropolitan various),Existing,Transport,1489000000
Victorian Rail Track,2019,qtr 2 2019‑20,457000000,83000000,,Cranbourne Pakenham and Sunbury Line Upgrades(metropolitan various),Existing,Transport,540000000
Victorian Rail Track,2019,qtr 2 2019‑20,561000000,47000000,TEI excludes $0.160 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,Caulfield to Dandenong conventional signalling and power infrastructure upgrade (metropolitan various),Existing,Transport,608000000
Victorian Rail Track,2019,qtr 1 2020‑21,592000000,11000000,"TEI has been reduced by $0.024 million due to savings and $1.063 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards.",Mernda rail extension project (Mernda),Completed,Transport,603000000
Victorian Rail Track,2019,qtr 1 2023‑24,596000000,1580000000,TEI includes financing costs.,High Capacity Metro Trains (metropolitan various),Existing,Transport,2176000000
Victorian Rail Track,2019,qtr 4 2021‑22,701000000,103000000,TEI has reduced by $0.250 million due to savings. The estimated completion date has been revised to quarter 4 2021‑22 due to remediation works and the availability of land for substation sites.,Tram procurement and supporting infrastructure (metropolitan various),Existing,Transport,804000000
Court Services Victoria,2020,qtr 1 2024‑25,2000000,269000000,Initiative funded in the 2020‑21 Budget.,New Wyndham Law Court Development (Werribee),Existing,Justice and emergency services,271000000
Court Services Victoria,2020,qtr 1 2022‑23,23000000,129000000,,Bendigo Law Courts Redevelopment (Bendigo),Existing,Justice and emergency services,152000000
Department of Education,2020,qtr 1 2022‑23,0,105000000,,Relocatable Buildings Program - providing relocatable buildings to meet growing demand (statewide),New,Education and Training,105000000
Department of Education,2020,qtr 3 2023‑24,0,492000000,,New schools construction (statewide),New,Education and Training,492000000
Department of Education,2020,qtr 2 2022‑23,17000000,113000000,Initiative funded in the Building Works package announced in May 2020.,School upgrades - growth for 2022 (metropolitan various),Existing,Education and Training,130000000
Department of Education,2020,qtr 4 2022‑23,36000000,247000000,,Ready for school: Kinder for every three‑year‑old 2019‑20 (statewide),Existing,Education and Training,283000000
Department of Education,2020,qtr 2 2022‑23,100000000,19000000,Initiative funded in the Building Works package announced in May 2020.,Greater Shepparton Secondary College 2020‑21 (Shepparton),Existing,Education and Training,119000000
Department of Education,2020,qtr 4 2021‑22,113000000,0,Initiative funded in the Building Works package announced in May 2020. TEI includes reclassification of certain expenditure as operating instead of capital in line with accounting standards.,Relocatable Buildings Program 2020‑21 (statewide),Completed,Education and Training,113000000
"Department of Environment, Energy and Climate Action",2020,qtr 4 2023-24,96000000,57000000,The project was reported in the 2019-20 Budget as a completed project. TEI has increased by $113.975 million compared with the 2019-20 Budget to include additional Commonwealth funding.,National Water Infrastructure Development Fund – National Partnership Agreement,Existing,Water,153000000
Department of Health,2020,qtr 1 2024‑25,0,102000000,TEI includes $40.000 million of Commonwealth funding and $5.940 million announced in the 2019‑20 Budget. TEI has decreased by $3.220 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Building emergency departments kids and families can count on (statewide),New,Health and human services,102000000
Department of Health,2020,qtr 4 2026‑27,0,103000000,TEI includes $4.556 million announced in the 2019‑20 Budget.,Delivering more hospital beds for Melbourne's East (Angliss Hospital Expansion Stage 2) (Ferntree Gully),New,Health and human services,103000000
Department of Health,2020,qtr 4 2025‑26,0,135000000,Initiative funded in the 2020‑21 Budget.,Modernisation of metropolitan Melbourne Public Sector Residential Aged Care Services Strategy: Stage 3 Kingston Project (Cheltenham),Existing,Health and human services,135000000
Department of Health,2020,qtr 4 2024‑25,0,141000000,,Expanding mental health treatment facilities for Victoria's youth (statewide),New,Health and human services,141000000
Department of Health,2020,qtr 2 2024-25,1000000,99000000,TEI includes $5.200 million announced in the 2020-21 Budget including $3.500 million reclassified as capital instead of operating.,Building a world-class hospital in Maryborough,New,Health and human services,100000000
Department of Health,2020,qtr 4 2025‑26,3000000,381000000,Initiative funded in the 2020‑21 Budget.,Warrnambool Base Hospital Redevelopment (incl Warrnambool Logistics Hub) (Warrnambool),Existing,Health and human services,384000000
Department of Health,2020,qtr 2 2027‑28,4000000,538000000,TEI includes $80.000 million reallocated from Guaranteeing Future Energy Supply (Melbourne). The estimated completion date has been revised to quarter 2 2027‑28 due to COVID‑19 restrictions on work sites impacting overall program. The project's cashflow has been revised in line with a revised project schedule.,Ballarat Health Services expansion and redevelopment and the new Central Energy Plant (Ballarat),Existing,Health and human services,542000000
Department of Health,2020,qtr 4 2024‑25,6000000,343000000,TEI includes $9.000 million reallocated from Forensic Mental Health Bed‑based Services Expansion (Fairfield).,Expanding and improving bed‑based forensic mental health services: Thomas Embling Hospital (Fairfield),New,Health and human services,350000000
Department of Health,2020,qtr 4 2023‑24,9000000,208000000,Initiative funded in the 2020‑21 budget. The project's cashflow has been revised in line with a revised project schedule.,Latrobe Regional Hospital redevelopment - Stage 3A (Traralgon),Existing,Health and human services,217000000
Department of Health,2020,qtr 4 2024‑25,11000000,106000000,,"Enabling a high quality, efficient public pathology system (statewide)",New,Health and human services,117000000
Department of Health,2020,qtr 3 2023‑24,17000000,475000000,Initiative funded in the 2020‑21 Budget.,A pathway to more acute mental health beds: Responding to the Royal Commission into Victoria's Mental Health System interim report (statewide),Existing,Health and human services,492000000
Department of Health,2020,qtr 4 2024‑25,18000000,587000000,Initiative funded in the 2020‑21 Budget. The TEI has increased by $43.260 million due to revised project scope. The estimated completion date has been revised to quarter 4 2024‑25 due to COVID‑19 restrictions on work sites impacting overall program. The project's cashflow has been revised in line with a revised project schedule.,Building a world class hospital for Frankston families (Frankston),Existing,Health and human services,605000000
Department of Health,2020,qtr 4 2022‑23,19000000,96000000,The project's cashflow has been revised in line with a revised project schedule.,Wonthaggi Hospital emergency department expansion (Wonthaggi),Existing,Health and human services,115000000
